Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
4051387,3/24/2015,4:30 PM,WORCESTER,Property damage only (none injured),HARDING STREET / ELLSWORTH STREET,,,Local police
4054855,2/27/2015,1:52 AM,WORCESTER,Not Reported,MILLBURY STREET,,,Local police
4054916,2/25/2015,4:00 PM,WORCESTER,Property damage only (none injured),CANTERBURY STREET / GARDNER STREET,,,Local police
4054818,2/27/2015,2:44 PM,WORCESTER,Property damage only (none injured),HAMMOND STREET / SOUTHBRIDGE STREET,,,Local police
4054828,2/27/2015,9:15 AM,WORCESTER,Non-fatal injury,HARDING STREET / MADISON STREET,,,Local police
4054845,2/27/2015,7:45 AM,WORCESTER,Not Reported,FOX STREET / JEFFERSON STREET,,,Local police
4055743,2/19/2015,12:16 PM,WORCESTER,Property damage only (none injured),VERNON STREET,,,Local police
2789182,3/26/2011,8:23 AM,WORCESTER,Property damage only (none injured),LAFAYETTE STREET,,,Local police
2837630,9/9/2011,12:30 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET / HAMILTON STREET / ORIENT STREET,,,Local police
4055742,2/19/2015,1:00 PM,WORCESTER,Unknown,MILL STREET / MAIN STREET,,,Local police
4058407,2/14/2015,2:03 AM,WORCESTER,Non-fatal injury,SOUTHBRIDGE STREET,,,Local police
4058445,2/14/2015,6:00 PM,WORCESTER,Property damage only (none injured),SOUTHBRIDGE STREET / HAMMOND STREET,,,Local police
4058453,2/14/2015,5:38 PM,WORCESTER,Non-fatal injury,MAIN STREET / HOLLAND ROAD,,,Local police
4058456,2/14/2015,4:43 PM,WORCESTER,Property damage only (none injured),MAIN STREET,,,Local police
4070818,7/30/2015,11:40 AM,WORCESTER,Property damage only (none injured),Rte 290 E,UNKNOWN,,State police
2826803,11/17/2011,4:54 PM,WORCESTER,Non-fatal injury,Rte 290 E,,,State police
2829326,12/9/2011,3:30 PM,WORCESTER,Property damage only (none injured),CURTIS PARKWAY,STAFFORD STREET,,State police
2833833,9/5/2011,2:09 AM,WORCESTER,Property damage only (none injured),LAVALLEE TERRACE,,,Local police
2842169,12/14/2011,3:20 AM,WORCESTER,Property damage only (none injured),HOLLIS STREET / GATES STREET,,,State police
2844068,12/28/2011,10:20 PM,WORCESTER,Non-fatal injury,Rte 290 E,,,State police
2844069,12/30/2011,10:04 AM,WORCESTER,Property damage only (none injured),Rte 290 E,,,State police
2910531,1/9/2010,2:10 AM,WORCESTER,Property damage only (none injured),CORAL STREET,,,Local police
2910567,1/28/2010,4:30 PM,WORCESTER,Property damage only (none injured),MILLBURY STREET,,,Local police
4076999,5/23/2015,9:30 PM,WORCESTER,Not Reported,CLARKSON STREET,,,Local police
4077009,5/23/2015,8:45 PM,WORCESTER,Property damage only (none injured),HITCHCOCK ROAD,,,State police
4077015,5/30/2015,6:50 PM,WORCESTER,Property damage only (none injured),HARDING STREET / MADISON STREET / GREEN STREET,,,Local police
4077024,5/30/2015,10:56 AM,WORCESTER,Not Reported,HITCHCOCK ROAD,,,Local police
4077031,5/30/2015,9:18 AM,WORCESTER,Property damage only (none injured),MAIN STREET Rte 9 S,,,Local police
4077034,5/29/2015,8:20 PM,WORCESTER,Property damage only (none injured),VERNON STREET,JEFFERSON STREET Rte 290,,Local police
4092751,6/21/2015,10:53 PM,WORCESTER,Property damage only (none injured),STAFFORD STREET,,,Local police
4092781,6/11/2015,5:16 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET / MENDON STREET,,,Local police
2736208,5/13/2011,8:15 AM,WORCESTER,Not Reported,VERNON STREET Rte 122A N / KELLY SQUARE,,,Local police
2738787,4/25/2011,8:15 AM,WORCESTER,Property damage only (none injured),RAMP-RT 290 WB TO RT 122A / VERNON STREET Rte 122A S,,,Local police
2738851,4/21/2011,11:35 AM,WORCESTER,Property damage only (none injured),WATER STREET Rte 122 S / VERNON STREET Rte 122A N / MILLBURY STREET,,,Local police
2791023,7/16/2010,1:00 AM,WORCESTER,Not Reported,HARRISON STREET,,,Local police
2791035,5/19/2010,9:00 AM,WORCESTER,Property damage only (none injured),MAIN STREET,,,Local police
2791880,3/22/2011,1:01 AM,WORCESTER,Non-fatal injury,LAFAYETTE STREET / SOUTHBRIDGE STREET,,,Local police
2791896,3/21/2011,5:30 PM,WORCESTER,Property damage only (none injured),Rte 290 W,VERNON STREET,,Local police
2791933,3/21/2011,3:00 PM,WORCESTER,Non-fatal injury,GRAFTON STREET,FAY STREET,,Local police
