Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
4077026,5/30/2015,10:41 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W,,,Local police
2914280,12/18/2010,4:50 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,,HONEY FARMS,Local police
4072155,4/13/2015,2:40 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3131637,3/28/2012,1:29 PM,WORCESTER,Not Reported,SOUTHWEST CUTOFF Rte 20,GRANITE STREET,,State police
3142530,3/20/2011,7:21 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3147588,10/31/2011,2:15 PM,WORCESTER,Property damage only (none injured),SPOFFORD ROAD,,,Local police
4076416,7/31/2015,7:12 AM,WORCESTER,Property damage only (none injured),SPOFFORD ROAD,,POLE 9,Local police
2791021,7/16/2010,11:17 AM,WORCESTER,Property damage only (none injured),PARKHILL ROAD,,,Local police
2940446,9/29/2011,10:55 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
2967542,9/23/2011,10:13 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
2973634,11/8/2010,6:12 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,MILLER FENCE CO,Local police
3069969,1/20/2011,3:47 PM,WORCESTER,Property damage only (none injured),ROSE LANE / GREENWOOD STREET,,,Local police
3070845,1/20/2011,8:00 PM,WORCESTER,Non-fatal injury,MASSASOIT ROAD / Rte 20 / SOUTHWEST CUTOFF,,,Local police
3151633,10/18/2011,7:21 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,,,Local police
4055750,2/19/2015,12:14 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
2826668,11/23/2011,7:25 AM,WORCESTER,Property damage only (none injured),Rte 146 S,,PRIOR TO RTE 20,State police
2940592,8/22/2010,3:52 AM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
2943747,9/24/2011,4:37 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / SOUTHWEST CUTOFF,,,Local police
2945331,9/20/2011,5:20 PM,WORCESTER,Property damage only (none injured),ADELLE CIRCUIT / SPOFFORD ROAD / GREENWOOD STREET,,,Local police
2951430,9/21/2011,12:50 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3069964,1/19/2011,2:30 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3101630,2/12/2011,12:00 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET,,,Local police
3102318,2/26/2011,12:45 PM,WORCESTER,Not Reported,GRANITE STREET / BECKLAND STREET,,,Local police
3105934,2/4/2011,12:15 PM,WORCESTER,Not Reported,GREENWOOD STREET / ROSE LANE,,,Local police
3154718,11/2/2011,7:20 AM,WORCESTER,Property damage only (none injured),GREENWOOD STREET Rte 20 W,GREENWOOD STREET,,Local police
3154724,11/12/2011,11:45 AM,WORCESTER,Not Reported,SPOFFORD ROAD,,,Local police
3154974,11/11/2011,5:30 AM,WORCESTER,Property damage only (none injured),GRANITE STREET,,,Local police
3155647,11/26/2011,1:30 AM,WORCESTER,Property damage only (none injured),Rte 20 / GRANITE STREET,,,Local police
3155653,11/28/2011,10:06 PM,WORCESTER,Property damage only (none injured),UPLAND GARDENS DRIVE / SPOFFORD ROAD,,,Local police
3156067,11/17/2011,2:11 PM,WORCESTER,Property damage only (none injured),ROSE LANE / GREENWOOD STREET,,,Local police
3157937,7/18/2011,4:40 PM,WORCESTER,Property damage only (none injured),MASSASOIT ROAD / SOUTHWEST CUTOFF,,,Local police
2685623,1/21/2011,9:30 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / ESKOW ROAD,,,Local police
2860384,9/8/2011,2:40 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
2958736,9/1/2011,9:00 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
2958843,9/1/2011,11:15 AM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,G AND K AUTOMOTIVE,Local police
2959342,9/28/2011,8:02 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
3054580,1/19/2011,10:11 AM,WORCESTER,Property damage only (none injured),GRAFTON STREET,,,Local police
3059232,1/26/2011,12:40 AM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,USA MARINA,Local police
3067981,1/31/2011,10:00 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3067988,1/27/2011,12:30 PM,WORCESTER,Not Reported,Rte 20 / GRANITE STREET,,,Local police
3069367,1/19/2011,7:40 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20,,,Local police
3069572,1/19/2011,12:00 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3107400,2/28/2011,11:00 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / MASSASOIT ROAD,,,Local police
3175771,3/1/2011,7:03 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF Rte 20,,,Local police
3175776,12/31/2011,6:35 PM,WORCESTER,Property damage only (none injured),Rte 20 / GRANITE STREET,,,Local police
3176751,12/31/2011,12:00 PM,WORCESTER,Not Reported,GRANITE STREET,Rte 20,,Local police
3179791,12/27/2011,6:06 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3179977,12/26/2011,11:00 PM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,,Local police
3188865,12/21/2011,8:30 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,TEDS PIZZA,Local police
3188875,12/21/2011,3:37 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,RAYS MARINA,Local police
3236561,3/28/2012,3:46 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
3251912,2/27/2012,7:00 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / MASSASOIT ROAD,,,Local police
3252793,2/15/2012,6:30 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,,,Local police
3252874,2/25/2012,2:42 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
3253368,3/23/2012,1:45 PM,WORCESTER,Non-fatal injury,MASSASOIT ROAD / SOUTHWEST CUTOFF,,,Local police
3253382,2/5/2012,12:24 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W / MASSASOIT ROAD,,,Local police
3253397,2/3/2012,11:25 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3253705,2/1/2012,2:59 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET / SPOFFORD ROAD,,,Local police
3253754,1/10/2012,5:39 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3254249,2/18/2012,8:31 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,Rte 20,SHELL GAS AND MCDONALDS,Local police
3254824,4/18/2012,2:20 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / PARK HILL ROAD / GRANITE STREET,,,Local police
4077452,5/7/2015,11:38 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,Rte 20,SUNOCO GAS STATION,Local police
4077803,5/10/2015,12:25 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,GREENWOOD STREET,,Local police
